motu,coco area,coco percent,native/coco area,native/coco percent,native area,native percent ,landscape area,landscape percent,total area
Hiraanae,26.3,75.00%,6.1,17.50%,2.6,7.50%,0,0,35
Horoatera,71.5,82.20%,6.2,7.20%,9.3,10.60%,0,0,87
Reiono,0,0.00%,7.5,32.60%,15.5,67.40%,0,0,23
Rimatuu,19.2,21.10%,12.7,14.00%,59.1,64.90%,0,0,91
Honuea,0,0.00%,6.2,20.60%,23.8,79.40%,0,0,30
Tiaraunu,126.9,74.20%,36.5,21.40%,7.6,4.40%,0,0,171
Tauvine,3.1,44.10%,3.2,45.10%,0.8,10.70%,0,0,7
Ahuroa,1.7,43.00%,2.2,54.50%,0.1,2.50%,0,0,4
Tahuna Rahi,0,0.00%,0,0.00%,1,100.00%,0,0,1
Tahuna Iti,0,0.00%,0,0.00%,10,100.00%,0,0,10
Aie,0,0.00%,0,0.00%,2,100.00%,0,0,2
Onetahi,0,0,9.8,12.70%,0,0.00%,67.2,83.70%,77
