F R E N C H P O LYN E S I A,,,,,,,,
TOTAL AREA (KM 2 ) OF THE HABITAT TYPES BY ISLAND IN THE SOCIETY ARCHIPELAGO.,,,,,,,,
Table 3,,,,,,,,
T H E S O C I E T Y A R C H I P E L AG O,,TO TA L A R E A S Q UA R E K M,,,,,,
HAB ITAT C LAS S I FI CATI O N,Bellinghausen,Huahini,Maiao,Mopelia,Scilly,Tahaa-Raitea,Tetiaroa,Tupai
Back reef coral bommies,0.004,0.07,0.004,0.013,0.004,0.202,0.034,0.011
Back reef coral framework,0.769,5.547,1.977,3.813,4.112,14.603,3.42,3.195
Back reef pavement,0.825,2.583,0.767,2.099,7.836,10.831,0,0.642
Back reef rubble dominated,0.295,5.666,2.685,3.186,3.661,16.395,2.309,--
Back reef sediment dominated,1.818,11.179,--,5.005,6.341,52.867,10.028,2.506
Beach sand,0.316,0.24,0.806,0.668,1.483,0.177,0.461,1.2
Carbonate blocks,--,--,--,--,--,--,--,--
Coral rubble,0.687,0.333,0.194,0.644,0.535,0.833,0.184,0.458
Coralline algal ridge,0.345,1.049,0.546,0.768,1.143,2.319,0.859,0.769
Deep fore reef slope,0.652,2.859,0.989,0.736,1.137,8.242,2.02,1.39
Deep lagoonal water,0.409,15.385,--,23.243,73.017,116.254,5.603,--
Fore reef sand flats,--,0.014,--,--,--,--,--,--
Inland waters,0.015,0.048,3.525,--,--,0.134,--,--
Mud,--,--,0.734,--,--,--,--,--
Lagoonal Acropora framework,--,--,--,--,--,--,--,--
Lagoonal coral framework,--,--,--,--,--,--,--,--
Lagoonal floor barren,2.158,4.433,--,5.477,7.75,13.071,4.415,8.118
Lagoonal floor coral bommies,0.001,0.01,--,0,0.003,0.03,0.006,0.002
Lagoonal fringing reefs,--,7.21,--,--,--,16.684,--,--
Lagoonal floor macroalgae onsediment,0.041,--,--,--,--,0.046,0,--
Lagoonal patch reefs,0.064,0.237,--,0.046,0.023,0.665,0.139,0.054
Lagoonal pavement,--,--,--,--,--,--,--,--
Lagoonal pinnacle reefs branchingcoral dominated,0.648,--,--,--,--,0.896,--,--
Lagoonal pinnacle reefs massivecoral dominated,--,2.673,--,0.42,0.304,13.42,1.071,0.229
Lagoonal sediment apron macroalgae,--,--,--,--,--,--,--,--
Lagoonal sediment apron sedimentdominated,0.468,--,--,1.294,2.598,--,0,3.058
Reef-top algal mats,--,--,--,--,0.063,--,--,--
Rock,0.596,2.514,0.136,0.672,2.098,4.775,0.92,0.855
Shallow fore reef slope,0.463,3.309,1.106,1.261,1.33,6.42,0.964,1.279
Shallow fore reef terrace,0.337,2.286,0.414,1.076,1.89,4.575,0.695,0.506
Soil,--,4.094,--,--,--,--,--,--
Terrestrial vegetation,2.549,66.279,7.315,3.035,2.524,248.418,4.371,8.531
Urban,--,1.742,0.043,0.001,0.001,8.373,0.099,0.06
21,,,,,,,,

