iucn_sid,sciname,population,category,common
165871,Centropyge bispinosa,NA,LC,Twospined Angelfish
165878,Centropyge flavissima,NA,LC,Lemonpeel Angelfish
165896,Centropyge multicolor,NA,LC,Multicolor Angelfish
165848,Centropyge heraldi,NA,LC,Yellow Angelfish
165885,Pygoplites diacanthus,NA,LC,Royal Angelfish
165864,Genicanthus bellus,NA,LC,Ornate Angelfish
165872,Genicanthus watanabei,NA,LC,Blackedged Angelfish
165828,Centropyge fisheri,NA,LC,Hawaiian Flame Angelfish
165862,Pomacanthus imperator,NA,LC,Emperor Angelfish
165852,Paracentropyge multifasciata,NA,LC,Barred Angelfish
155308,Centropyge loricula,NA,LC,Flame Angel
194307,Elops hawaiensis,NA,DD,Giant Herring
194298,Albula argentea,NA,DD,NA
165681,Chaetodon ephippium,NA,LC,Saddle-back Butterflyfish
165688,Chaetodon flavirostris,NA,LC,Dusky Butterflyfish
165631,Chaetodon auriga,NA,LC,Threadfin Butterflyfish
165725,Chaetodon semeion,NA,LC,Decorated Butterflyfish
165669,Chaetodon lineolatus,NA,LC,Lined Butterflyfish
165668,Chaetodon citrinellus,NA,LC,Speckled Butterflyfish
165712,Chaetodon trifascialis,NA,NT,Triangulate Butterflyfish
165678,Chaetodon quadrimaculatus,NA,LC,Neonbanded Butterflyfish
165650,Heniochus monoceros,NA,LC,Unicorn Pennant Coralfish
165667,Forcipiger longirostris,NA,LC,Black Long-nosed Butterflyfish
154788,Hemitaurichthys thompsoni,NA,LC,Thompson's Butterflyfish
165640,Heniochus chrysostomus,NA,LC,Threeband Pennantfish
165686,Chaetodon bennetti,NA,DD,Bluelashed Butterflyfish
165672,Hemitaurichthys polylepis,NA,LC,Brushytoothed Butterflyfish
165651,Chaetodon lunula,NA,LC,Redstriped Butterflyfish
165641,Chaetodon ornatissimus,NA,LC,Ornate Butterflyfish
165713,Chaetodon reticulatus,NA,DD,Reticulated Butterflyfish
165615,Chaetodon mertensii,NA,LC,Orangebar Butterflyfish
165679,Chaetodon trichrous,NA,LC,Tahitian Butterflyfish
165704,Chaetodon lunulatus,NA,LC,Pacific Pinstriped Butterflyfish
165652,Heniochus varius,NA,LC,Hunchbacked Coralfish
165665,Chaetodon ulietensis,NA,LC,Pacific Double-saddled Butterflyfish
165716,Forcipiger flavissimus,NA,LC,Big long-nosed Butterflyfish
165714,Chaetodon unimaculatus,NA,LC,Teardrop Butterfly Fish
165680,Chaetodon rafflesii,NA,LC,Raffle's Butterflyfish
165630,Chaetodon vagabundus,NA,LC,Criss-cross Butterflyfish
165626,Heniochus acuminatus,NA,LC,Pennant Coral Fish
165653,Chaetodon pelewensis,NA,LC,Dot-and-dash Butterflyfish
60210,Euprotomicrus bispinatus,NA,LC,Pygmy Shark
39385,Sphyrna lewini,NA,EN,Scalloped Hammerhead
39365,Carcharhinus amblyrhynchos,NA,NT,Grey Reef Shark
39381,Prionace glauca,NA,NT,Blue Shark
41836,Negaprion acutidens,NA,VU,Sharptooth Lemon Shark
161597,Alopias pelagicus,NA,VU,Pelagic Thresher
39415,Aetobatus narinari,NA,NT,Spotted Eagle Ray
39372,Carcharhinus leucas,NA,NT,Bull Shark
