"","shp_iucn_sid","iucn_sid","sciname","presence","subpop","dbf_file","max_depth","comp_assessed"
"1",155308,155308,"Centropyge loricula",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"2",165878,165878,"Centropyge flavissima",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"3",165885,165885,"Pygoplites diacanthus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"4",165862,165862,"Pomacanthus imperator",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"5",165864,165864,"Genicanthus bellus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"6",165871,165871,"Centropyge bispinosa",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"7",165872,165872,"Genicanthus watanabei",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"8",165828,165828,"Centropyge fisheri",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"9",165848,165848,"Centropyge heraldi",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"10",165852,165852,"Paracentropyge multifasciata",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"11",165896,165896,"Centropyge multicolor",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ANGELFISH.dbf","< 200 m",TRUE
"12",194298,194298,"Albula argentea",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BONEFISH_TARPONS.dbf","< 200 m",TRUE
"13",194307,194307,"Elops hawaiensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BONEFISH_TARPONS.dbf","200 m +",TRUE
"14",165631,165631,"Chaetodon auriga",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"15",165653,165653,"Chaetodon pelewensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"16",165640,165640,"Heniochus chrysostomus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"17",165665,165665,"Chaetodon ulietensis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"18",165667,165667,"Forcipiger longirostris",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"19",165668,165668,"Chaetodon citrinellus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"20",165672,165672,"Hemitaurichthys polylepis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"21",165626,165626,"Heniochus acuminatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"22",165630,165630,"Chaetodon vagabundus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"23",165641,165641,"Chaetodon ornatissimus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"24",165650,165650,"Heniochus monoceros",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"25",165651,165651,"Chaetodon lunula",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"26",165652,165652,"Heniochus varius",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"27",165669,165669,"Chaetodon lineolatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"28",165704,165704,"Chaetodon lunulatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"29",165712,165712,"Chaetodon trifascialis",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","unknown",TRUE
"30",165713,165713,"Chaetodon reticulatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"31",165714,165714,"Chaetodon unimaculatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"32",165716,165716,"Forcipiger flavissimus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"33",165725,165725,"Chaetodon semeion",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"34",154788,154788,"Hemitaurichthys thompsoni",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"35",165615,165615,"Chaetodon mertensii",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"36",165678,165678,"Chaetodon quadrimaculatus",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
"37",165679,165679,"Chaetodon trichrous",1,NA,"/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/BUTTERFLYFISH.dbf","< 200 m",TRUE
