"","sciname","trend"
"1","pluvialis fulva","Decreasing"
"2","gymnothorax pictus","Unknown"
"3","myripristis murdjan","Unknown"
"4","chlorurus sordidus","Unknown"
"5","sargocentron spiniferum","Unknown"
"6","zanclus cornutus","Stable"
"7","gnathodentex aureolineatus","Unknown"
"8","chanos chanos","Unknown"
"9","caranx ignobilis","Unknown"
"10","neoniphon argenteus","Unknown"
"11","gymnothorax javanicus","Unknown"
"12","synodus jaculum","Unknown"
"13","dactyloptena orientalis","Unknown"
"14","mulloidichthys flavolineatus","Stable"
"15","carangoides ferdau","Unknown"
"16","lutjanus fulvus","Unknown"
"17","parupeneus barberinus","Unknown"
"18","carcharhinus melanopterus","Decreasing"
"19","dermochelys coriacea","Decreasing"
"20","birgus latro",NA
"21","octopus cyanea","Unknown"
"22","tridacna maxima",NA
"23","lepidochelys olivacea","Decreasing"
"24","centropyge bispinosa","Stable"
"25","centropyge flavissima","Stable"
"26","centropyge multicolor","Stable"
"27","centropyge heraldi","Stable"
"28","pygoplites diacanthus","Stable"
"29","genicanthus bellus","Stable"
"30","genicanthus watanabei","Stable"
"31","centropyge fisheri","Stable"
"32","pomacanthus imperator","Stable"
"33","paracentropyge multifasciata","Stable"
"34","centropyge loricula","Stable"
"35","elops hawaiensis","Unknown"
"36","albula argentea","Unknown"
"37","chaetodon ephippium","Stable"
"38","chaetodon flavirostris","Stable"
"39","chaetodon auriga","Decreasing"
"40","chaetodon semeion","Stable"
"41","chaetodon lineolatus","Stable"
"42","chaetodon citrinellus","Stable"
"43","chaetodon trifascialis","Decreasing"
"44","chaetodon quadrimaculatus","Stable"
"45","heniochus monoceros","Stable"
"46","forcipiger longirostris","Unknown"
"47","hemitaurichthys thompsoni","Stable"
"48","heniochus chrysostomus","Stable"
"49","chaetodon bennetti","Stable"
"50","hemitaurichthys polylepis","Stable"
"51","chaetodon lunula","Stable"
"52","chaetodon ornatissimus","Unknown"
"53","chaetodon reticulatus","Stable"
"54","chaetodon mertensii","Stable"
"55","chaetodon trichrous","Stable"
"56","chaetodon lunulatus","Decreasing"
"57","heniochus varius","Stable"
"58","chaetodon ulietensis","Stable"
"59","forcipiger flavissimus","Stable"
"60","chaetodon unimaculatus","Stable"
"61","chaetodon rafflesii","Stable"
"62","chaetodon vagabundus","Stable"
"63","heniochus acuminatus","Stable"
"64","chaetodon pelewensis","Stable"
"65","euprotomicrus bispinatus","Unknown"
"66","sphyrna lewini","Decreasing"
"67","carcharhinus amblyrhynchos","Unknown"
"68","prionace glauca","Decreasing"
"69","negaprion acutidens","Decreasing"
"70","alopias pelagicus","Decreasing"
"71","aetobatus narinari","Decreasing"
"72","carcharhinus leucas","Unknown"
"73","carcharodon carcharias","Decreasing"
"74","aetobatus ocellatus","Decreasing"
"75","triaenodon obesus","Unknown"
"76","alopias vulpinus","Decreasing"
"77","nebrius ferrugineus","Decreasing"
"78","gymnura poecilura","Decreasing"
"79","sphyrna mokarran","Decreasing"
"80","isurus paucus","Decreasing"
"81","pseudocarcharias kamoharai","Increasing"
"82","galeocerdo cuvier","Decreasing"
"83","pteroplatytrygon violacea","Unknown"
"84","megachasma pelagios","Unknown"
"85","isurus oxyrinchus","Decreasing"
"86","mobula alfredi","Decreasing"
