"name","sciname","iucn_sid","category","stat_score","year"
"pacific golden plover","pluvialis fulva",22693735,"LC",1,2020
"peppered moray eel","gymnothorax pictus",195775,"LC",1,2020
"blotch-eye soldier firsh","myripristis murdjan",67871036,"LC",1,2020
"bullethead parrotfish","chlorurus sordidus",190715,"LC",1,2020
"giant squirrelfish","sargocentron spiniferum",67903042,"LC",1,2020
"moorish idol","zanclus cornutus",69741115,"LC",1,2020
"goldlined emperor","gnathodentex aureolineatus",16719296,"LC",1,2020
"milk fish","chanos chanos",60324,"LC",1,2020
"giant jack","caranx ignobilis",20430651,"LC",1,2020
"silver squirrelfish","neoniphon argenteus",67871143,"LC",1,2020
"giant moray","gymnothorax javanicus",195741,"LC",1,2020
"blackblotch lizardfish","synodus jaculum",67853451,"LC",1,2020
"helmet gurnard","dactyloptena orientalis",50903234,"LC",1,2020
"yellowstripe goatfish","mulloidichthys flavolineatus",50903119,"LC",1,2020
"barred jack","carangoides ferdau",20429455,"LC",1,2020
"yellow-margined snapper","lutjanus fulvus",194377,"LC",1,2020
"dot-dashed goatfish","parupeneus barberinus",69181941,"LC",1,2020
"blacktip reef shark","carcharhinus melanopterus",39375,"NT",0.8,2020
"leatherback turtle","dermochelys coriacea",46967807,"CR",0.2,2020
"coconut crab","birgus latro",2811,"DD",NA,2020
"day octopus","octopus cyanea",163055,"LC",1,2020
"clam","tridacna maxima",22138,"LR/cd",0.9,2020
"olive ridley sea turtle","lepidochelys olivacea",11534,"VU",0.6,2020
"twospined angelfish","centropyge bispinosa",165871,"LC",1,2020
"lemonpeel angelfish","centropyge flavissima",165878,"LC",1,2020
"multicolor angelfish","centropyge multicolor",165896,"LC",1,2020
"yellow angelfish","centropyge heraldi",165848,"LC",1,2020
"royal angelfish","pygoplites diacanthus",165885,"LC",1,2020
"ornate angelfish","genicanthus bellus",165864,"LC",1,2020
"blackedged angelfish","genicanthus watanabei",165872,"LC",1,2020
"hawaiian flame angelfish","centropyge fisheri",165828,"LC",1,2020
"emperor angelfish","pomacanthus imperator",165862,"LC",1,2020
"barred angelfish","paracentropyge multifasciata",165852,"LC",1,2020
"flame angel","centropyge loricula",155308,"LC",1,2020
"giant herring","elops hawaiensis",194307,"DD",NA,2020
NA,"albula argentea",194298,"DD",NA,2020
"saddle-back butterflyfish","chaetodon ephippium",165681,"LC",1,2020
"dusky butterflyfish","chaetodon flavirostris",165688,"LC",1,2020
"threadfin butterflyfish","chaetodon auriga",165631,"LC",1,2020
"decorated butterflyfish","chaetodon semeion",165725,"LC",1,2020
"lined butterflyfish","chaetodon lineolatus",165669,"LC",1,2020
"speckled butterflyfish","chaetodon citrinellus",165668,"LC",1,2020
"triangulate butterflyfish","chaetodon trifascialis",165712,"NT",0.8,2020
"neonbanded butterflyfish","chaetodon quadrimaculatus",165678,"LC",1,2020
"unicorn pennant coralfish","heniochus monoceros",165650,"LC",1,2020
"black long-nosed butterflyfish","forcipiger longirostris",165667,"LC",1,2020
"thompson's butterflyfish","hemitaurichthys thompsoni",154788,"LC",1,2020
"threeband pennantfish","heniochus chrysostomus",165640,"LC",1,2020
"bluelashed butterflyfish","chaetodon bennetti",165686,"DD",NA,2020
"brushytoothed butterflyfish","hemitaurichthys polylepis",165672,"LC",1,2020
"redstriped butterflyfish","chaetodon lunula",165651,"LC",1,2020
"ornate butterflyfish","chaetodon ornatissimus",165641,"LC",1,2020
"reticulated butterflyfish","chaetodon reticulatus",165713,"DD",NA,2020
"orangebar butterflyfish","chaetodon mertensii",165615,"LC",1,2020
"tahitian butterflyfish","chaetodon trichrous",165679,"LC",1,2020
"pacific pinstriped butterflyfish","chaetodon lunulatus",165704,"LC",1,2020
"hunchbacked coralfish","heniochus varius",165652,"LC",1,2020
"pacific double-saddled butterflyfish","chaetodon ulietensis",165665,"LC",1,2020
"big long-nosed butterflyfish","forcipiger flavissimus",165716,"LC",1,2020
"teardrop butterfly fish","chaetodon unimaculatus",165714,"LC",1,2020
"raffle's butterflyfish","chaetodon rafflesii",165680,"LC",1,2020
"criss-cross butterflyfish","chaetodon vagabundus",165630,"LC",1,2020
"pennant coral fish","heniochus acuminatus",165626,"LC",1,2020
"dot-and-dash butterflyfish","chaetodon pelewensis",165653,"LC",1,2020
"pygmy shark","euprotomicrus bispinatus",60210,"LC",1,2020
"scalloped hammerhead","sphyrna lewini",39385,"EN",0.4,2020
"grey reef shark","carcharhinus amblyrhynchos",39365,"NT",0.8,2020
"blue shark","prionace glauca",39381,"NT",0.8,2020
"sharptooth lemon shark","negaprion acutidens",41836,"VU",0.6,2020
"pelagic thresher","alopias pelagicus",161597,"VU",0.6,2020
"spotted eagle ray","aetobatus narinari",39415,"NT",0.8,2020
"bull shark","carcharhinus leucas",39372,"NT",0.8,2020
"white shark","carcharodon carcharias",3855,"VU",0.6,2020
"spotted eagle ray","aetobatus ocellatus",42566169,"VU",0.6,2020
"whitetip reef shark","triaenodon obesus",39384,"NT",0.8,2020
"common thresher","alopias vulpinus",39339,"VU",0.6,2020
"tawny nurse shark","nebrius ferrugineus",41835,"VU",0.6,2020
"longtail butterfly ray","gymnura poecilura",60117,"NT",0.8,2020
"great hammerhead","sphyrna mokarran",39386,"EN",0.4,2020
