"sciname","class"
"pluvialis fulva","aves"
"gymnothorax pictus","actinopterygii"
"myripristis murdjan","actinopterygii"
"chlorurus sordidus","actinopterygii"
"sargocentron spiniferum","actinopterygii"
"zanclus cornutus","actinopterygii"
"gnathodentex aureolineatus","actinopterygii"
"chanos chanos","actinopterygii"
"caranx ignobilis","actinopterygii"
"neoniphon argenteus","actinopterygii"
"gymnothorax javanicus","actinopterygii"
"synodus jaculum","actinopterygii"
"dactyloptena orientalis","actinopterygii"
"mulloidichthys flavolineatus","actinopterygii"
"carangoides ferdau","actinopterygii"
"lutjanus fulvus","actinopterygii"
"parupeneus barberinus","actinopterygii"
"carcharhinus melanopterus","chondrichthyes"
"birgus latro","malacostraca"
"octopus cyanea","cephalopoda"
"tridacna maxima","bivalvia"
"lepidochelys olivacea","reptilia"
"centropyge bispinosa","actinopterygii"
"centropyge flavissima","actinopterygii"
"centropyge multicolor","actinopterygii"
"centropyge heraldi","actinopterygii"
"pygoplites diacanthus","actinopterygii"
"genicanthus bellus","actinopterygii"
"genicanthus watanabei","actinopterygii"
"centropyge fisheri","actinopterygii"
"pomacanthus imperator","actinopterygii"
"paracentropyge multifasciata","actinopterygii"
"centropyge loricula","actinopterygii"
"elops hawaiensis","actinopterygii"
"albula argentea","actinopterygii"
"chaetodon ephippium","actinopterygii"
"chaetodon flavirostris","actinopterygii"
"chaetodon auriga","actinopterygii"
"chaetodon semeion","actinopterygii"
"chaetodon lineolatus","actinopterygii"
"chaetodon citrinellus","actinopterygii"
"chaetodon trifascialis","actinopterygii"
"chaetodon quadrimaculatus","actinopterygii"
"heniochus monoceros","actinopterygii"
"forcipiger longirostris","actinopterygii"
"hemitaurichthys thompsoni","actinopterygii"
"heniochus chrysostomus","actinopterygii"
"chaetodon bennetti","actinopterygii"
"hemitaurichthys polylepis","actinopterygii"
"chaetodon lunula","actinopterygii"
"chaetodon ornatissimus","actinopterygii"
"chaetodon reticulatus","actinopterygii"
"chaetodon mertensii","actinopterygii"
"chaetodon trichrous","actinopterygii"
"chaetodon lunulatus","actinopterygii"
"heniochus varius","actinopterygii"
"chaetodon ulietensis","actinopterygii"
"forcipiger flavissimus","actinopterygii"
"chaetodon unimaculatus","actinopterygii"
"chaetodon rafflesii","actinopterygii"
"chaetodon vagabundus","actinopterygii"
"heniochus acuminatus","actinopterygii"
"chaetodon pelewensis","actinopterygii"
"euprotomicrus bispinatus","chondrichthyes"
"sphyrna lewini","chondrichthyes"
"carcharhinus amblyrhynchos","chondrichthyes"
"prionace glauca","chondrichthyes"
"alopias pelagicus","chondrichthyes"
"aetobatus narinari","chondrichthyes"
"carcharhinus leucas","chondrichthyes"
"carcharodon carcharias","chondrichthyes"
"aetobatus ocellatus","chondrichthyes"
"triaenodon obesus","chondrichthyes"
"alopias vulpinus","chondrichthyes"
"nebrius ferrugineus","chondrichthyes"
"gymnura poecilura","chondrichthyes"
"sphyrna mokarran","chondrichthyes"
"isurus paucus","chondrichthyes"
"pseudocarcharias kamoharai","chondrichthyes"
"galeocerdo cuvier","chondrichthyes"
"pteroplatytrygon violacea","chondrichthyes"
"megachasma pelagios","chondrichthyes"
"mobula alfredi","chondrichthyes"
"carcharhinus albimarginatus","chondrichthyes"
"carcharhinus limbatus","chondrichthyes"
"carcharhinus falciformis","chondrichthyes"
"carcharhinus galapagensis","chondrichthyes"
"mobula birostris","chondrichthyes"
"rhincodon typus","chondrichthyes"
"carcharhinus longimanus","chondrichthyes"
"encrasicholina punctifer","actinopterygii"
"praealticus caesius","actinopterygii"
"entomacrodus sealei","actinopterygii"
"blenniella gibbifrons","actinopterygii"
"blenniella chrysospilos","actinopterygii"
"enneapterygius triserialis","actinopterygii"
"enneapterygius nigricauda","actinopterygii"
"cirripectes fuscoguttatus","actinopterygii"
"atrosalarias fuscus","actinopterygii"
"entomacrodus decussatus","actinopterygii"
"aspidontus taeniatus","actinopterygii"
