name,sciname,iucn_sid,population,category
twospined angelfish,centropyge bispinosa,165871,NA,LC
multicolor angelfish,centropyge multicolor,165896,NA,LC
yellow angelfish,centropyge heraldi,165848,NA,LC
royal angelfish,pygoplites diacanthus,165885,NA,LC
ornate angelfish,genicanthus bellus,165864,NA,LC
blackedged angelfish,genicanthus watanabei,165872,NA,LC
hawaiian flame angelfish,centropyge fisheri,165828,NA,LC
emperor angelfish,pomacanthus imperator,165862,NA,LC
barred angelfish,paracentropyge multifasciata,165852,NA,LC
flame angel,centropyge loricula,155308,NA,LC
NA,albula argentea,194298,NA,DD
saddle-back butterflyfish,chaetodon ephippium,165681,NA,LC
dusky butterflyfish,chaetodon flavirostris,165688,NA,LC
decorated butterflyfish,chaetodon semeion,165725,NA,LC
lined butterflyfish,chaetodon lineolatus,165669,NA,LC
speckled butterflyfish,chaetodon citrinellus,165668,NA,LC
triangulate butterflyfish,chaetodon trifascialis,165712,NA,NT
neonbanded butterflyfish,chaetodon quadrimaculatus,165678,NA,LC
unicorn pennant coralfish,heniochus monoceros,165650,NA,LC
black long-nosed butterflyfish,forcipiger longirostris,165667,NA,LC
thompson's butterflyfish,hemitaurichthys thompsoni,154788,NA,LC
bluelashed butterflyfish,chaetodon bennetti,165686,NA,DD
brushytoothed butterflyfish,hemitaurichthys polylepis,165672,NA,LC
ornate butterflyfish,chaetodon ornatissimus,165641,NA,LC
reticulated butterflyfish,chaetodon reticulatus,165713,NA,DD
orangebar butterflyfish,chaetodon mertensii,165615,NA,LC
tahitian butterflyfish,chaetodon trichrous,165679,NA,LC
pacific pinstriped butterflyfish,chaetodon lunulatus,165704,NA,LC
hunchbacked coralfish,heniochus varius,165652,NA,LC
pacific double-saddled butterflyfish,chaetodon ulietensis,165665,NA,LC
big long-nosed butterflyfish,forcipiger flavissimus,165716,NA,LC
teardrop butterfly fish,chaetodon unimaculatus,165714,NA,LC
raffle's butterflyfish,chaetodon rafflesii,165680,NA,LC
