sciname,pop_trend,trend_score,trend_source
pluvialis fulva,Decreasing,0,lm
gymnothorax pictus,Unknown,NA,NA
myripristis murdjan,Unknown,NA,NA
chlorurus sordidus,Unknown,0,lm
sargocentron spiniferum,Unknown,NA,NA
zanclus cornutus,Stable,NA,NA
gnathodentex aureolineatus,Unknown,NA,NA
chanos chanos,Unknown,0,lm
caranx ignobilis,Unknown,NA,NA
neoniphon argenteus,Unknown,NA,NA
gymnothorax javanicus,Unknown,NA,NA
synodus jaculum,Unknown,NA,NA
dactyloptena orientalis,Unknown,NA,NA
mulloidichthys flavolineatus,Stable,NA,NA
carangoides ferdau,Unknown,NA,NA
lutjanus fulvus,Unknown,NA,NA
parupeneus barberinus,Unknown,NA,NA
carcharhinus melanopterus,Decreasing,0,lm
dermochelys coriacea,Decreasing,-0.00394,lm
birgus latro,NA,NA,NA
octopus cyanea,Unknown,NA,NA
tridacna maxima,NA,NA,NA
lepidochelys olivacea,Decreasing,-0.00741,lm
centropyge bispinosa,Stable,NA,NA
centropyge flavissima,Stable,NA,NA
centropyge multicolor,Stable,NA,NA
centropyge heraldi,Stable,NA,NA
pygoplites diacanthus,Stable,NA,NA
genicanthus bellus,Stable,NA,NA
genicanthus watanabei,Stable,NA,NA
centropyge fisheri,Stable,NA,NA
pomacanthus imperator,Stable,NA,NA
paracentropyge multifasciata,Stable,NA,NA
centropyge loricula,Stable,NA,NA
elops hawaiensis,Unknown,NA,NA
albula argentea,Unknown,NA,NA
chaetodon ephippium,Stable,NA,NA
chaetodon flavirostris,Stable,NA,NA
chaetodon auriga,Decreasing,3e-4,regr
chaetodon semeion,Stable,NA,NA
chaetodon lineolatus,Stable,NA,NA
chaetodon citrinellus,Stable,NA,NA
chaetodon trifascialis,Decreasing,3e-4,regr
chaetodon quadrimaculatus,Stable,NA,NA
heniochus monoceros,Stable,NA,NA
forcipiger longirostris,Unknown,NA,NA
hemitaurichthys thompsoni,Stable,NA,NA
heniochus chrysostomus,Stable,NA,NA
chaetodon bennetti,Stable,NA,NA
hemitaurichthys polylepis,Stable,NA,NA
