.id,sciname,year,code,category
pluvialis fulva,pluvialis fulva,2016,LC,Least Concern
pluvialis fulva,pluvialis fulva,2012,LC,Least Concern
pluvialis fulva,pluvialis fulva,2009,LC,Least Concern
pluvialis fulva,pluvialis fulva,2008,LC,Least Concern
pluvialis fulva,pluvialis fulva,2004,LC,Least Concern
pluvialis fulva,pluvialis fulva,2000,LR/lc,Lower Risk/least concern
pluvialis fulva,pluvialis fulva,1994,LR/lc,Lower Risk/least concern
pluvialis fulva,pluvialis fulva,1988,LR/lc,Lower Risk/least concern
gymnothorax pictus,gymnothorax pictus,2019,LC,Least Concern
myripristis murdjan,myripristis murdjan,2016,LC,Least Concern
chlorurus sordidus,chlorurus sordidus,2012,LC,Least Concern
chlorurus sordidus,chlorurus sordidus,2010,LC,Least Concern
sargocentron spiniferum,sargocentron spiniferum,2016,LC,Least Concern
zanclus cornutus,zanclus cornutus,2016,LC,Least Concern
gnathodentex aureolineatus,gnathodentex aureolineatus,2016,LC,Least Concern
chanos chanos,chanos chanos,2019,LC,Least Concern
chanos chanos,chanos chanos,2017,LC,Least Concern
caranx ignobilis,caranx ignobilis,2016,LC,Least Concern
neoniphon argenteus,neoniphon argenteus,2016,LC,Least Concern
gymnothorax javanicus,gymnothorax javanicus,2019,LC,Least Concern
synodus jaculum,synodus jaculum,2016,LC,Least Concern
dactyloptena orientalis,dactyloptena orientalis,2016,LC,Least Concern
mulloidichthys flavolineatus,mulloidichthys flavolineatus,2016,LC,Least Concern
carangoides ferdau,carangoides ferdau,2016,LC,Least Concern
lutjanus fulvus,lutjanus fulvus,2016,LC,Least Concern
parupeneus barberinus,parupeneus barberinus,2016,LC,Least Concern
carcharhinus melanopterus,carcharhinus melanopterus,2009,NT,Near Threatened
carcharhinus melanopterus,carcharhinus melanopterus,2000,LR/nt,Lower Risk/near threatened
dermochelys coriacea,dermochelys coriacea,2013,VU,Vulnerable
dermochelys coriacea,dermochelys coriacea,2000,CR,Critically Endangered
dermochelys coriacea,dermochelys coriacea,1996,EN,Endangered
dermochelys coriacea,dermochelys coriacea,1994,E,Endangered
dermochelys coriacea,dermochelys coriacea,1990,E,Endangered
dermochelys coriacea,dermochelys coriacea,1988,E,Endangered
dermochelys coriacea,dermochelys coriacea,1986,E,Endangered
dermochelys coriacea,dermochelys coriacea,1982,E,Endangered
birgus latro,birgus latro,1996,DD,Data Deficient
birgus latro,birgus latro,1994,R,Rare
birgus latro,birgus latro,1990,R,Rare
birgus latro,birgus latro,1988,R,Rare
birgus latro,birgus latro,1986,R,Rare
birgus latro,birgus latro,1983,R,Rare
octopus cyanea,octopus cyanea,2018,LC,Least Concern
tridacna maxima,tridacna maxima,1996,LR/cd,Lower Risk/conservation dependent
tridacna maxima,tridacna maxima,1994,K,Insufficiently Known
tridacna maxima,tridacna maxima,1990,K,Insufficiently Known
tridacna maxima,tridacna maxima,1988,K,Insufficiently Known
tridacna maxima,tridacna maxima,1986,K,Insufficiently Known
tridacna maxima,tridacna maxima,1983,K,Insufficiently Known
lepidochelys olivacea,lepidochelys olivacea,2008,VU,Vulnerable
lepidochelys olivacea,lepidochelys olivacea,1996,EN,Endangered
lepidochelys olivacea,lepidochelys olivacea,1994,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1990,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1988,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1986,E,Endangered
lepidochelys olivacea,lepidochelys olivacea,1982,E,Endangered
centropyge bispinosa,centropyge bispinosa,2010,LC,Least Concern
centropyge flavissima,centropyge flavissima,2010,LC,Least Concern
centropyge multicolor,centropyge multicolor,2010,LC,Least Concern
centropyge heraldi,centropyge heraldi,2010,LC,Least Concern
pygoplites diacanthus,pygoplites diacanthus,2010,LC,Least Concern
genicanthus bellus,genicanthus bellus,2010,LC,Least Concern
genicanthus watanabei,genicanthus watanabei,2010,LC,Least Concern
centropyge fisheri,centropyge fisheri,2010,LC,Least Concern
pomacanthus imperator,pomacanthus imperator,2010,LC,Least Concern
paracentropyge multifasciata,paracentropyge multifasciata,2010,LC,Least Concern
centropyge loricula,centropyge loricula,2010,LC,Least Concern
elops hawaiensis,elops hawaiensis,2012,DD,Data Deficient
albula argentea,albula argentea,2012,DD,Data Deficient
chaetodon ephippium,chaetodon ephippium,2010,LC,Least Concern
chaetodon flavirostris,chaetodon flavirostris,2010,LC,Least Concern
chaetodon auriga,chaetodon auriga,2010,LC,Least Concern
