sciname,pop_trend,trend_score,trend_source,class,region_id,year
gymnothorax pictus,Unknown,NA,iucn,actinopterygii,1,2020
myripristis murdjan,Unknown,NA,iucn,actinopterygii,1,2020
sargocentron spiniferum,Unknown,NA,iucn,actinopterygii,1,2020
zanclus cornutus,Stable,0,iucn,actinopterygii,1,2020
gnathodentex aureolineatus,Unknown,NA,iucn,actinopterygii,1,2020
caranx ignobilis,Unknown,NA,iucn,actinopterygii,1,2020
neoniphon argenteus,Unknown,NA,iucn,actinopterygii,1,2020
gymnothorax javanicus,Unknown,NA,iucn,actinopterygii,1,2020
synodus jaculum,Unknown,NA,iucn,actinopterygii,1,2020
dactyloptena orientalis,Unknown,NA,iucn,actinopterygii,1,2020
mulloidichthys flavolineatus,Stable,0,iucn,actinopterygii,1,2020
carangoides ferdau,Unknown,NA,iucn,actinopterygii,1,2020
lutjanus fulvus,Unknown,NA,iucn,actinopterygii,1,2020
parupeneus barberinus,Unknown,NA,iucn,actinopterygii,1,2020
birgus latro,NA,NA,iucn,malacostraca,1,2020
octopus cyanea,Unknown,NA,iucn,cephalopoda,1,2020
tridacna maxima,NA,NA,iucn,bivalvia,1,2020
centropyge bispinosa,Stable,0,iucn,actinopterygii,1,2020
centropyge flavissima,Stable,0,iucn,actinopterygii,1,2020
centropyge multicolor,Stable,0,iucn,actinopterygii,1,2020
centropyge heraldi,Stable,0,iucn,actinopterygii,1,2020
pygoplites diacanthus,Stable,0,iucn,actinopterygii,1,2020
genicanthus bellus,Stable,0,iucn,actinopterygii,1,2020
genicanthus watanabei,Stable,0,iucn,actinopterygii,1,2020
centropyge fisheri,Stable,0,iucn,actinopterygii,1,2020
pomacanthus imperator,Stable,0,iucn,actinopterygii,1,2020
paracentropyge multifasciata,Stable,0,iucn,actinopterygii,1,2020
centropyge loricula,Stable,0,iucn,actinopterygii,1,2020
elops hawaiensis,Unknown,NA,iucn,actinopterygii,1,2020
albula argentea,Unknown,NA,iucn,actinopterygii,1,2020
chaetodon ephippium,Stable,0,iucn,actinopterygii,1,2020
chaetodon flavirostris,Stable,0,iucn,actinopterygii,1,2020
chaetodon semeion,Stable,0,iucn,actinopterygii,1,2020
chaetodon lineolatus,Stable,0,iucn,actinopterygii,1,2020
chaetodon citrinellus,Stable,0,iucn,actinopterygii,1,2020
chaetodon quadrimaculatus,Stable,0,iucn,actinopterygii,1,2020
heniochus monoceros,Stable,0,iucn,actinopterygii,1,2020
forcipiger longirostris,Unknown,NA,iucn,actinopterygii,1,2020
hemitaurichthys thompsoni,Stable,0,iucn,actinopterygii,1,2020
heniochus chrysostomus,Stable,0,iucn,actinopterygii,1,2020
chaetodon bennetti,Stable,0,iucn,actinopterygii,1,2020
hemitaurichthys polylepis,Stable,0,iucn,actinopterygii,1,2020
chaetodon lunula,Stable,0,iucn,actinopterygii,1,2020
chaetodon ornatissimus,Unknown,NA,iucn,actinopterygii,1,2020
chaetodon reticulatus,Stable,0,iucn,actinopterygii,1,2020
chaetodon mertensii,Stable,0,iucn,actinopterygii,1,2020
chaetodon trichrous,Stable,0,iucn,actinopterygii,1,2020
heniochus varius,Stable,0,iucn,actinopterygii,1,2020
chaetodon ulietensis,Stable,0,iucn,actinopterygii,1,2020
forcipiger flavissimus,Stable,0,iucn,actinopterygii,1,2020
chaetodon unimaculatus,Stable,0,iucn,actinopterygii,1,2020
chaetodon rafflesii,Stable,0,iucn,actinopterygii,1,2020
chaetodon vagabundus,Stable,0,iucn,actinopterygii,1,2020
heniochus acuminatus,Stable,0,iucn,actinopterygii,1,2020
chaetodon pelewensis,Stable,0,iucn,actinopterygii,1,2020
encrasicholina punctifer,Unknown,NA,iucn,actinopterygii,1,2020
praealticus caesius,Stable,0,iucn,actinopterygii,1,2020
entomacrodus sealei,Stable,0,iucn,actinopterygii,1,2020
blenniella gibbifrons,Stable,0,iucn,actinopterygii,1,2020
blenniella chrysospilos,Stable,0,iucn,actinopterygii,1,2020
enneapterygius triserialis,Stable,0,iucn,actinopterygii,1,2020
enneapterygius nigricauda,Unknown,NA,iucn,actinopterygii,1,2020
cirripectes fuscoguttatus,Stable,0,iucn,actinopterygii,1,2020
atrosalarias fuscus,Stable,0,iucn,actinopterygii,1,2020
entomacrodus decussatus,Stable,0,iucn,actinopterygii,1,2020
aspidontus taeniatus,Stable,0,iucn,actinopterygii,1,2020
atrosalarias holomelas,Unknown,NA,iucn,actinopterygii,1,2020
aspidontus dussumieri,Stable,0,iucn,actinopterygii,1,2020
cirripectes variolosus,Stable,0,iucn,actinopterygii,1,2020
enneapterygius fuscoventer,Unknown,NA,iucn,actinopterygii,1,2020
blenniella caudolineata,Stable,0,iucn,actinopterygii,1,2020
enchelyurus ater,Stable,0,iucn,actinopterygii,1,2020
entomacrodus caudofasciatus,Stable,0,iucn,actinopterygii,1,2020
norfolkia thomasi,Unknown,NA,iucn,actinopterygii,1,2020
enneapterygius rhabdotus,Unknown,NA,iucn,actinopterygii,1,2020
enneapterygius tutuilae,Unknown,NA,iucn,actinopterygii,1,2020
helcogramma chica,Unknown,NA,iucn,actinopterygii,1,2020
cirripectes jenningsi,Stable,0,iucn,actinopterygii,1,2020
blenniella paula,Stable,0,iucn,actinopterygii,1,2020
entomacrodus thalassinus,Stable,0,iucn,actinopterygii,1,2020
alticus arnoldorum,Stable,0,iucn,actinopterygii,1,2020
stanulus seychellensis,Stable,0,iucn,actinopterygii,1,2020
istiblennius edentulus,Stable,0,iucn,actinopterygii,1,2020
exallias brevis,Stable,0,iucn,actinopterygii,1,2020
enneapterygius pyramis,Unknown,NA,iucn,actinopterygii,1,2020
cirripectes quagga,Stable,0,iucn,actinopterygii,1,2020
istiblennius lineatus,Stable,0,iucn,actinopterygii,1,2020
plagiotremus rhinorhynchos,Stable,0,iucn,actinopterygii,1,2020
plagiotremus tapeinosoma,Stable,0,iucn,actinopterygii,1,2020
entomacrodus striatus,Stable,0,iucn,actinopterygii,1,2020
petroscirtes xestus,Stable,0,iucn,actinopterygii,1,2020
conus planorbis,Unknown,NA,iucn,gastropoda,1,2020
conus miles,Unknown,NA,iucn,gastropoda,1,2020
conus coronatus,Unknown,NA,iucn,gastropoda,1,2020
conus pulicarius,NA,NA,iucn,gastropoda,1,2020
conus lividus,Unknown,NA,iucn,gastropoda,1,2020
conus pertusus,Unknown,NA,iucn,gastropoda,1,2020
