item,cost (USD),cost(FP),category,year,,,Income 2019 (USD),Income 2018 (USD),ref_goal 2016,status 2019,status 2018
Rat eradication ,"750,000",,CASUP_goal,2016,,,"828,701","500,641.22",1018333.333,81.37816694,49.16280393
Biotic and Cultural Surveys,"55,000",,CASUP_goal,2016,,,,,,,
Lidar Mapping,"80,000",,CASUP_goal,2016,,,,,,,
Cultural Center,"400,000",,CASUP_goal,2016,,,,,,,
Education Program Kickstart,"120,000",,CASUP_goal,2016,,,,,,,
IDEA Database,"150,000",,CASUP_goal,2016,,,,,,,
Facilities,"600,000",,CASUP_goal,2016,,,,,,,
Programs,"900,000",,CASUP_goal,2016,,,,,,,
Personnel,"391,471","42,278,903",TS_cost,2019,,,,,,,
CASUP,"47,231","5,100,910",TS_cost,2019,,,,,,,
Business,"86,585","9,351,128",TS_cost,2019,,,,,,,
Facilities,"69,244","7,478,364",TS_cost,2019,,,,,,,
Transport,"31,919","3,447,210",TS_cost,2019,,,,,,,
TB Fixed donation,"244,444","26,400,000",TS_income,2019,,,,,,,
TB Conservation fee,"256,663","27,719,603",TS_income,2019,,,,,,,
TS Grants,"167,878","18,130,814",TS_income,2019,,,,,,,
Frangipani,"49,777","5,375,961",TS_income,2019,,,,,,,
Brando Enterprises,"44,468","4,802,578",TS_income,2019,,,,,,,
Ecostation fees,"65,471","7,070,844",TS_income,2019,,,,,,,
Personnel,"156,429.03",16553146,TS_cost,2018,,,,,,,
CASUP,,?,TS_cost,2018,,,,,,,
Business,"87,347.46",9243011,TS_cost,2018,,,,,,,
Facilities (Eco station),"35,605.83",3767569,TS_cost,2018,,,,,,,
Transport,"35,605.83",3767569,TS_cost,2018,,,,,,,
TB Conservation fee,"238,005.94",25184182,TS_income,2018,,,,,,,
Frangipani,"47,907.26",5069223,TS_income,2018,,,,,,,
Charter Boats,"16,670.88",1764000,TS_income,2018,,,,,,,
Ecostation fees,"48,636.14",5146348,TS_income,2018,,,,,,,
TS Grants,149421,,TS_income,2018,,,,,,,
