name,result.year,result.code,result.category
22696698,2018,LC,Least Concern
22696698,2017,LC,Least Concern
22696698,2016,LC,Least Concern
22696698,2012,LC,Least Concern
22696698,2009,LC,Least Concern
22696698,2008,LC,Least Concern
22696698,2004,LC,Least Concern
22696698,2000,LR/lc,Lower Risk/least concern
22696698,1994,LR/lc,Lower Risk/least concern
22696698,1988,LR/lc,Lower Risk/least concern
22696694,2018,LC,Least Concern
22696694,2016,LC,Least Concern
22696694,2012,LC,Least Concern
22696694,2009,LC,Least Concern
22696694,2008,LC,Least Concern
22696694,2004,LC,Least Concern
22696694,2000,LR/lc,Lower Risk/least concern
22696694,1994,LR/lc,Lower Risk/least concern
22696694,1988,LR/lc,Lower Risk/least concern
22694821,2018,LC,Least Concern
22694821,2016,LC,Least Concern
22694821,2012,LC,Least Concern
22694821,2009,LC,Least Concern
22694821,2008,LC,Least Concern
22694821,2004,LC,Least Concern
22694821,2000,LR/lc,Lower Risk/least concern
22694821,1994,LR/lc,Lower Risk/least concern
22694821,1988,LR/lc,Lower Risk/least concern
22697733,2018,LC,Least Concern
22697733,2017,LC,Least Concern
22697733,2016,LC,Least Concern
22697733,2012,LC,Least Concern
22697733,2009,LC,Least Concern
22697733,2008,LC,Least Concern
22697733,2004,LC,Least Concern
22697733,2000,LR/lc,Lower Risk/least concern
22697733,1994,LR/lc,Lower Risk/least concern
22697733,1988,LR/lc,Lower Risk/least concern
22697738,2018,LC,Least Concern
22697738,2016,LC,Least Concern
22697738,2012,LC,Least Concern
22697738,2009,LC,Least Concern
22697738,2008,LC,Least Concern
22697738,2004,LC,Least Concern
22697738,2000,LR/lc,Lower Risk/least concern
22697738,1994,LR/lc,Lower Risk/least concern
22697738,1988,LR/lc,Lower Risk/least concern
22693182,2016,VU,Vulnerable
22693182,2012,VU,Vulnerable
22693182,2008,VU,Vulnerable
22693182,2006,VU,Vulnerable
22693182,2004,VU,Vulnerable
22693182,2000,VU,Vulnerable
22693182,1996,VU,Vulnerable
22693182,1994,VU,Vulnerable
22693182,1988,T,Threatened
22696980,2018,LC,Least Concern
22696980,2016,LC,Least Concern
22696980,2012,LC,Least Concern
22696980,2009,LC,Least Concern
22696980,2008,LC,Least Concern
22696980,2004,LC,Least Concern
22696980,2000,LR/lc,Lower Risk/least concern
22696980,1994,LR/lc,Lower Risk/least concern
22696980,1988,LR/lc,Lower Risk/least concern
22693735,2016,LC,Least Concern
22693735,2012,LC,Least Concern
22693735,2009,LC,Least Concern
22693735,2008,LC,Least Concern
22693735,2004,LC,Least Concern
22693735,2000,LR/lc,Lower Risk/least concern
22693735,1994,LR/lc,Lower Risk/least concern
22693735,1988,LR/lc,Lower Risk/least concern
22693305,2016,LC,Least Concern
22693305,2012,LC,Least Concern
22693305,2009,LC,Least Concern
22693305,2008,LC,Least Concern
22693305,2004,LC,Least Concern
22693305,2000,LR/lc,Lower Risk/least concern
22693305,1994,LR/lc,Lower Risk/least concern
22693305,1988,LR/lc,Lower Risk/least concern
193662,2014,LC,Least Concern
195775,2019,LC,Least Concern
67871036,2016,LC,Least Concern
178012,2012,LC,Least Concern
190715,2012,LC,Least Concern
190715,2010,LC,Least Concern
67903042,2016,LC,Least Concern
190736,2012,LC,Least Concern
190736,2010,LC,Least Concern
69741115,2016,LC,Least Concern
193712,2014,LC,Least Concern
132781,2018,LC,Least Concern
132781,2008,LC,Least Concern
165878,2010,LC,Least Concern
165631,2010,LC,Least Concern
165651,2010,LC,Least Concern
132788,2018,LC,Least Concern
132788,2008,LC,Least Concern
16719296,2016,LC,Least Concern
60324,2019,LC,Least Concern
60324,2017,LC,Least Concern
20430651,2016,LC,Least Concern
177950,2012,LC,Least Concern
187396,2010,LC,Least Concern
187559,2010,LC,Least Concern
65364818,2017,LC,Least Concern
67871143,2016,LC,Least Concern
195741,2019,LC,Least Concern
67853451,2016,LC,Least Concern
50903234,2016,LC,Least Concern
50903119,2016,LC,Least Concern
20429455,2016,LC,Least Concern
194377,2016,LC,Least Concern
69181941,2016,LC,Least Concern
165640,2010,LC,Least Concern
187722,2010,LC,Least Concern
177995,2012,LC,Least Concern
177970,2012,LC,Least Concern
39375,2009,NT,Near Threatened
39375,2000,LR/nt,Lower Risk/near threatened
42834,2003,EN,Endangered
