rgn_id,year,sciname,status,name
1,2014,birgus latro,0.4,coconut crab
1,2014,eretmochelys imbricata,0.19999999999999996,hawksbill turtle
1,2014,globicephala macrorhynchus,0.9,short-finned pilot whale
1,2014,lepidochelys olivacea,0.6,olive ridley sea turtle
1,2014,mesoplodon densirostris,NA,blainville's beaked whale
1,2014,peponocephala electra,1,melon-headed whale
1,2014,stenella longirostris,0.9,spinner dolphin
1,2014,steno bredanensis,1,rough-toothed dolphin
1,2014,tridacna maxima,0.9,clam
1,2014,carcharhinus melanopterus,0.8,blacktip reef shark
1,2014,aetobatus narinari,0.8,spotted eagle ray
1,2014,negaprion acutidens,0.4,lemon shark
1,2014,chanos chanos,1,milk fish
1,2014,cephalopholis argus,1,peacock grouper
1,2014,epinephelus merra,1,honeycomb grouper
1,2014,megaptera novaeangliae,0.4,humpback whale
1,2014,pocillopora verrucosa,1,knob-horned coral
1,2014,porites lobata,0.8,lobe coral
1,2014,acropora striata,0.6,staghorn coral
1,2014,millepora platyphylla,1,fire coral
1,2014,octopus cyanea,1,day octopus
1,2014,chaetodon auriga,1,threadfin butterfly fish
1,2014,heniochus chrysostomus,1,pennant bannerfish
1,2014,chaetodon lunula,1,racoon butterflyfish
1,2014,centropyge flavissima,1,lemonpeel angelfish
1,2014,naso lituratus,1,orangespine unicornfish
1,2014,naso unicornis,1,bluespine unicornfish
1,2014,acanthurus guttatus,1,spotted surgeonfish
1,2014,ctenochaetus striatus,1,striated surgeonfish
1,2014,holothuria atra,1,sea cucumber
1,2014,labroides dimidiatus,1,bluestreak cleaner wrasse
1,2014,thalassoma hardwicke,1,sixbar wrasse
1,2014,epibulus insidiator,1,slingjaw wrasse
1,2014,chlorurus sordidus,1,bullethead parrotfish
1,2014,scarus psittacus,1,common parrotfish
1,2014,arothron meleagris,1,spotted pufferfish
1,2014,arothron stellatus,1,starry pufferfish
1,2014,lutjanus fulvus,1,yellow-margined snapper
1,2014,mobula alfredi,0.6,reef manta ray
1,2014,gymnothorax javanicus,1,giant moray
1,2014,gymnothorax pictus,1,peppered moray eel
1,2014,chelonia mydas,1,green turtle
1,2014,gnathodentex aureolineatus,1,goldlined emperor
1,2014,carangoides ferdau,1,barred jack
1,2014,caranx ignobilis,1,giant jack
1,2014,numenius tahitiensis,0.6,bristle thighed curley
1,2014,tringa incana,1,wandering tattler
1,2014,pluvialis fulva,1,pacific golden plover
1,2014,gygis alba,1,white common tern
1,2014,sula sula,1,red-footed booby
1,2014,sula leucogaster,1,brown booby
1,2014,egretta sacra,1,pacific reef egret
1,2014,fregata minor,1,great frigatebird
1,2014,fregata ariel,1,lesser frigatebird
1,2014,dermochelys coriacea,0.19999999999999996,leatherback turtle
1,2014,mulloidichthys flavolineatus,1,yellowstripe goatfish
1,2014,dactyloptena orientalis,1,helmet gurnard
1,2014,corythoichthys flavofasciatus,1,yellowbanded pipefish
1,2014,synodus jaculum,1,blackblotch lizardfish
1,2014,myripristis murdjan,1,blotch-eye soldier firsh
1,2014,neoniphon argenteus,1,silver squirrelfish
1,2014,sargocentron spiniferum,1,giant squirrelfish
1,2014,parupeneus barberinus,1,dot-dashed goatfish
1,2014,zanclus cornutus,1,moorish idol
1,2014,caretta caretta,0.19999999999999996,loggerhead turtle
1,2015,birgus latro,0.4,coconut crab
1,2015,eretmochelys imbricata,0.19999999999999996,hawksbill turtle
1,2015,globicephala macrorhynchus,0.9,short-finned pilot whale
1,2015,lepidochelys olivacea,0.6,olive ridley sea turtle
1,2015,mesoplodon densirostris,NA,blainville's beaked whale
1,2015,peponocephala electra,1,melon-headed whale
1,2015,stenella longirostris,0.9,spinner dolphin
1,2015,steno bredanensis,1,rough-toothed dolphin
1,2015,tridacna maxima,0.9,clam
1,2015,carcharhinus melanopterus,0.8,blacktip reef shark
1,2015,aetobatus narinari,0.8,spotted eagle ray
1,2015,negaprion acutidens,0.4,lemon shark
1,2015,chanos chanos,1,milk fish
1,2015,cephalopholis argus,1,peacock grouper
1,2015,epinephelus merra,1,honeycomb grouper
1,2015,megaptera novaeangliae,0.4,humpback whale
1,2015,pocillopora verrucosa,1,knob-horned coral
1,2015,porites lobata,0.8,lobe coral
1,2015,acropora striata,0.6,staghorn coral
1,2015,millepora platyphylla,1,fire coral
1,2015,octopus cyanea,1,day octopus
1,2015,chaetodon auriga,1,threadfin butterfly fish
1,2015,heniochus chrysostomus,1,pennant bannerfish
1,2015,chaetodon lunula,1,racoon butterflyfish
1,2015,centropyge flavissima,1,lemonpeel angelfish
1,2015,naso lituratus,1,orangespine unicornfish
1,2015,naso unicornis,1,bluespine unicornfish
1,2015,acanthurus guttatus,1,spotted surgeonfish
1,2015,ctenochaetus striatus,1,striated surgeonfish
1,2015,holothuria atra,1,sea cucumber
1,2015,labroides dimidiatus,1,bluestreak cleaner wrasse
1,2015,thalassoma hardwicke,1,sixbar wrasse
1,2015,epibulus insidiator,1,slingjaw wrasse
1,2015,chlorurus sordidus,1,bullethead parrotfish
1,2015,scarus psittacus,1,common parrotfish
1,2015,arothron meleagris,1,spotted pufferfish
1,2015,arothron stellatus,1,starry pufferfish
1,2015,lutjanus fulvus,1,yellow-margined snapper
1,2015,mobula alfredi,0.6,reef manta ray
1,2015,gymnothorax javanicus,1,giant moray
1,2015,gymnothorax pictus,1,peppered moray eel
1,2015,chelonia mydas,1,green turtle
1,2015,gnathodentex aureolineatus,1,goldlined emperor
1,2015,carangoides ferdau,1,barred jack
1,2015,caranx ignobilis,1,giant jack
1,2015,numenius tahitiensis,0.6,bristle thighed curley
1,2015,tringa incana,1,wandering tattler
1,2015,pluvialis fulva,1,pacific golden plover
1,2015,gygis alba,1,white common tern
1,2015,sula sula,1,red-footed booby
1,2015,sula leucogaster,1,brown booby
1,2015,egretta sacra,1,pacific reef egret
1,2015,fregata minor,1,great frigatebird
1,2015,fregata ariel,1,lesser frigatebird
1,2015,dermochelys coriacea,0.19999999999999996,leatherback turtle
1,2015,mulloidichthys flavolineatus,1,yellowstripe goatfish
1,2015,dactyloptena orientalis,1,helmet gurnard
1,2015,corythoichthys flavofasciatus,1,yellowbanded pipefish
1,2015,synodus jaculum,1,blackblotch lizardfish
1,2015,myripristis murdjan,1,blotch-eye soldier firsh
1,2015,neoniphon argenteus,1,silver squirrelfish
1,2015,sargocentron spiniferum,1,giant squirrelfish
1,2015,parupeneus barberinus,1,dot-dashed goatfish
1,2015,zanclus cornutus,1,moorish idol
1,2015,caretta caretta,0.19999999999999996,loggerhead turtle
1,2016,birgus latro,0.4,coconut crab
1,2016,eretmochelys imbricata,0.19999999999999996,hawksbill turtle
1,2016,globicephala macrorhynchus,0.9,short-finned pilot whale
1,2016,lepidochelys olivacea,0.6,olive ridley sea turtle
1,2016,mesoplodon densirostris,NA,blainville's beaked whale
1,2016,peponocephala electra,1,melon-headed whale
1,2016,stenella longirostris,0.9,spinner dolphin
1,2016,steno bredanensis,1,rough-toothed dolphin
1,2016,tridacna maxima,0.9,clam
1,2016,carcharhinus melanopterus,0.8,blacktip reef shark
1,2016,aetobatus narinari,0.8,spotted eagle ray
1,2016,negaprion acutidens,0.4,lemon shark
1,2016,chanos chanos,1,milk fish
1,2016,cephalopholis argus,1,peacock grouper
1,2016,epinephelus merra,1,honeycomb grouper
1,2016,megaptera novaeangliae,0.4,humpback whale
1,2016,pocillopora verrucosa,1,knob-horned coral
1,2016,porites lobata,0.8,lobe coral
