region,area_km2,year
Offshore,181.89131882123615,2020
No take zone,35.89160134,2020
Rest of lagoon,35.89160134,2020
Aie,0.009775186488655,2020
Aie,0.023277683208063,2020
Ahuroa,0.046627710105536,2020
Hiraanae,0.353004842003619,2020
Horoatera,0.870078933438646,2020
Hiraanae,0.001100493961161,2020
Honuea,0.29743536186033,2020
Onetahi,0.751000573862474,2020
Reiono,0.232100155542133,2020
Rimatuu,0.903521034107308,2020
Tahuna Rahi,0.076107024461502,2020
Tahuna Iti,0.009172773697991,2020
Tauvine,0.079748509665234,2020
Tiaraunu,1.708848337667176,2020
